,is_coi_pred,is_register_pred,is_fund_pred,is_open_code,is_open_data,PMID,Unnamed: 0.1,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Unnamed: 0
3,True,False,False,False,False,15783263,37837,"Cholesterol, statins, and Alzheimer disease","Koudinov AR, Berezov TT.",PLoS Med. 2005 Mar;2(3):e81; author reply e85. doi: 10.1371/journal.pmed.0020081. Epub 2005 Mar 29.,Koudinov AR,PLoS Med,2005,2005/03/24,PMC1069670,,10.1371/journal.pmed.0020081,
4,True,False,True,,,15783264,37836,Accounting for individual differences in risk of Alzheimer disease,Grant W.,PLoS Med. 2005 Mar;2(3):e82; author reply e86. doi: 10.1371/journal.pmed.0020082. Epub 2005 Mar 29.,Grant W,PLoS Med,2005,2005/03/24,PMC1069671,,10.1371/journal.pmed.0020082,
9,False,False,True,False,False,15819990,37834,Power and sample size calculations in the presence of phenotype errors for case/control genetic association studies,"Edwards BJ, Haynes C, Levenstien MA, Finch SJ, Gordon D.",BMC Genet. 2005 Apr 8;6:18. doi: 10.1186/1471-2156-6-18.,Edwards BJ,BMC Genet,2005,2005/04/12,PMC1131899,,10.1186/1471-2156-6-18,
15,False,False,False,False,False,15949039,37824,Does cholesterol act as a protector of cholinergic projections in Alzheimer's disease?,Bohr IJ.,Lipids Health Dis. 2005 Jun 10;4:13. doi: 10.1186/1476-511X-4-13.,Bohr IJ,Lipids Health Dis,2005,2005/06/14,PMC1182387,,10.1186/1476-511X-4-13,
18,False,False,True,False,False,16109164,37813,Herpes simplex virus interferes with amyloid precursor protein processing,"Shipley SJ, Parkin ET, Itzhaki RF, Dobson CB.",BMC Microbiol. 2005 Aug 18;5:48. doi: 10.1186/1471-2180-5-48.,Shipley SJ,BMC Microbiol,2005,2005/08/20,PMC1198230,,10.1186/1471-2180-5-48,
22,True,False,True,False,False,16159306,37800,Impaired cross-modal inhibition in Alzheimer disease,"Drzezga A, Grimmer T, Peller M, Wermke M, Siebner H, Rauschecker JP, Schwaiger M, Kurz A.",PLoS Med. 2005 Oct;2(10):e288. doi: 10.1371/journal.pmed.0020288. Epub 2005 Sep 20.,Drzezga A,PLoS Med,2005,2005/09/15,PMC1216331,,10.1371/journal.pmed.0020288,
25,True,False,False,False,False,12184819,37985,To what degree does cognitive impairment in Alzheimer's disease predict dependence of patients on caregivers?,"Caro J, Ward A, Ishak K, Migliaccio-Walle K, Getsios D, Papadopoulos G, Torfs K.",BMC Neurol. 2002 Aug 19;2:6. doi: 10.1186/1471-2377-2-6.,Caro J,BMC Neurol,2002,2002/08/20,PMC123722,,10.1186/1471-2377-2-6,
31,False,False,False,False,False,11882478,38000,"Octylphenol (OP) alters the expression of members of the amyloid protein family in the hypothalamus of the snapping turtle, Chelydra serpentina serpentina","Trudeau VL, Chiu S, Kennedy SW, Brooks RJ.",Environ Health Perspect. 2002 Mar;110(3):269-75. doi: 10.1289/ehp.02110269.,Trudeau VL,Environ Health Perspect,2002,2002/03/08,PMC1240767,,10.1289/ehp.02110269,
35,False,False,False,,,12426149,37977,Possible involvement of copper(II) in Alzheimer disease,"Kowalik-Jankowska T, Ruta-Dolejsz M, Wisniewska K, Lankiewicz L, Kozlowski H.",Environ Health Perspect. 2002 Oct;110 Suppl 5(Suppl 5):869-70. doi: 10.1289/ehp.02110s5869.,Kowalik-Jankowska T,Environ Health Perspect,2002,2002/11/12,PMC1241263,,10.1289/ehp.02110s5869,
47,True,False,True,False,False,16225694,37790,Dementia-specific risks of scabies: retrospective epidemiologic analysis of an unveiled nosocomial outbreak in Japan from 1989-90,"Tsutsumi M, Nishiura H, Kobayashi T.",BMC Infect Dis. 2005 Oct 14;5:85. doi: 10.1186/1471-2334-5-85.,Tsutsumi M,BMC Infect Dis,2005,2005/10/18,PMC1276794,,10.1186/1471-2334-5-85,
