pmid,is_coi_pred,is_register_pred,is_fund_pred,is_open_code,is_open_data,Publication Year,Institution,Journal/Book,name,short_name
28095885,True,False,True,False,False,2017,Karolinska,BMC Psychiatry,Department of Clinical Neuroscience,CNS
28095885,True,False,True,False,False,2017,Karolinska,BMC Psychiatry,Department of Clinical Neuroscience,CNS
28098162,False,False,True,True,True,2017,Karolinska,Nat Commun,Department of Clinical Neuroscience,CNS
28103871,True,False,True,False,False,2017,Karolinska,BMC Health Serv Res,Department of Clinical Neuroscience,CNS
28122008,True,False,True,False,False,2017,Karolinska,PLoS One,Department of Clinical Neuroscience,CNS
28124194,True,False,False,False,False,2017,Karolinska,Int J Behav Med,Department of Clinical Neuroscience,CNS
28125634,True,False,True,False,False,2017,Karolinska,PLoS One,Department of Clinical Neuroscience,CNS
28126022,True,True,True,False,False,2017,Karolinska,BMC Psychol,Department of Clinical Neuroscience,CNS
28132011,True,True,True,False,False,2017,Karolinska,BMJ Open,Department of Clinical Neuroscience,CNS
28152198,False,False,True,False,False,2017,Karolinska,J Clin Psychol,Department of Clinical Neuroscience,CNS
28155580,True,False,True,False,False,2017,Karolinska,Mult Scler,Department of Clinical Neuroscience,CNS
28161762,False,False,True,False,False,2017,Karolinska,Immunol Res,Department of Clinical Neuroscience,CNS
28170401,True,False,True,False,False,2017,Karolinska,PLoS One,Department of Clinical Neuroscience,CNS
28178738,True,False,True,False,True,2017,Karolinska,PLoS One,Department of Clinical Neuroscience,CNS
28186209,True,False,True,False,False,2017,Karolinska,Sci Rep,Department of Clinical Neuroscience,CNS
28204870,True,False,True,False,False,2017,Karolinska,Int Arch Occup Environ Health,Department of Clinical Neuroscience,CNS
28205624,True,False,True,False,False,2017,Karolinska,Sci Rep,Department of Clinical Neuroscience,CNS
28213512,True,False,True,False,False,2017,Karolinska,J Exp Med,Department of Clinical Neuroscience,CNS
28220213,True,False,True,False,False,2017,Karolinska,Soc Psychiatry Psychiatr Epidemiol,Department of Clinical Neuroscience,CNS
28223037,False,False,True,False,False,2017,Karolinska,Exp Neurol,Department of Clinical Neuroscience,CNS
28224445,True,True,True,False,False,2017,Karolinska,Int J Behav Med,Department of Clinical Neuroscience,CNS
28229317,True,False,True,False,False,2017,Karolinska,Obes Surg,Department of Clinical Neuroscience,CNS
28229806,True,False,True,False,False,2017,Karolinska,Behav Cogn Psychother,Department of Clinical Neuroscience,CNS
28250150,True,False,True,False,False,2017,Karolinska,J Neurophysiol,Department of Clinical Neuroscience,CNS
28275834,True,False,True,False,False,2017,Karolinska,Eur J Trauma Emerg Surg,Department of Clinical Neuroscience,CNS
28278245,True,False,True,False,True,2017,Karolinska,PLoS One,Department of Clinical Neuroscience,CNS
28282362,True,False,True,False,False,2017,Karolinska,Pain,Department of Clinical Neuroscience,CNS
