pmid,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
35838058,Experiences of nurses and coordinators in a childhood obesity prevention trial based on motivational interviewing within Swedish child health services,"Enö Persson J, Leo Swenne C, von Essen L, Bohman B, Rasmussen F, Ghaderi A.",Int J Qual Stud Health Well-being. 2022 Dec;17(1):2096123. doi: 10.1080/17482631.2022.2096123.,Enö Persson J,Int J Qual Stud Health Well-being,2022,7/15/22,PMC9291662,,10.1080/17482631.2022.2096123
36376898,The 14-item short health anxiety inventory (SHAI-14) used as a screening tool: appropriate interpretation and diagnostic accuracy of the Swedish version,"Österman S, Axelsson E, Lindefors N, Hedman-Lagerlöf E, Hedman-Lagerlöf M, Kern D, Svanborg C, Ivanov VZ.",BMC Psychiatry. 2022 Nov 14;22(1):701. doi: 10.1186/s12888-022-04367-3.,Österman S,BMC Psychiatry,2022,11/15/22,PMC9664720,,10.1186/s12888-022-04367-3
35671007,Antibiotic hypersensitivity in cystic fibrosis - Low frequency of anaphylaxis over 16 000 courses,"Kowalik A, de Monestrol I, Sorjonen K, Brockow K, Gülen T.",Br J Clin Pharmacol. 2022 Nov;88(11):4845-4853. doi: 10.1111/bcp.15434. Epub 2022 Jun 16.,Kowalik A,Br J Clin Pharmacol,2022,6/7/22,PMC9796175,,10.1111/bcp.15434
35429005,Initial evaluation of a therapist-supported online cognitive therapy self-help for patients with taboo obsessions,"Olofsdotter Lauri K, Aspvall K, Bagøien Hustad I, Malmqvist K, Serlachius E, Mataix-Cols D, Rück C, Ivanov V, Andersson E.",Br J Clin Psychol. 2022 Nov;61(4):964-982. doi: 10.1111/bjc.12369. Epub 2022 Apr 16.,Olofsdotter Lauri K,Br J Clin Psychol,2022,4/16/22,PMC9790335,,10.1111/bjc.12369
35315523,Implementing therapist-guided internet-delivered cognitive behaviour therapy for obsessive-compulsive disorder in the UK's IAPT programme: A pilot trial,"Flygare O, Lundström L, Andersson E, Mataix-Cols D, Rück C.",Br J Clin Psychol. 2022 Nov;61(4):895-910. doi: 10.1111/bjc.12365. Epub 2022 Mar 22.,Flygare O,Br J Clin Psychol,2022,3/22/22,PMC9790702,,10.1111/bjc.12365
35972634,"Anonymous Online Survey on Disordered Eating, Drive for Muscularity, Sexual Orientation, and Satisfaction with Life in Young Swedish Males","Ghaderi A, Bulik C, Myrälf M, Welch E.",Arch Sex Behav. 2022 Oct;51(7):3457-3465. doi: 10.1007/s10508-022-02383-8. Epub 2022 Aug 16.,Ghaderi A,Arch Sex Behav,2022,8/16/22,PMC9556378,,10.1007/s10508-022-02383-8
35491992,Is Parents' ADHD Symptomatology Associated With the Clinical Feasibility or Effectiveness of a Psychoeducational Program Targeting Their Children's ADHD?,"Lindström T, Kierkegaard Suttner A, Forster M, Bölte S, Hirvikoski T.",J Atten Disord. 2022 Oct;26(12):1653-1667. doi: 10.1177/10870547221092120. Epub 2022 May 1.,Lindström T,J Atten Disord,2022,5/2/22,PMC9373197,,10.1177/10870547221092120
36085009,Clinical feasibility of cognitive behavioural therapy for insomnia in a real-world mixed sample at a specialized psychiatric outpatient clinic,"Cassel M, Blom K, Gatzacis J, Renblad P, Kaldo V, Jernelöv S.",BMC Psychiatry. 2022 Sep 9;22(1):600. doi: 10.1186/s12888-022-04231-4.,Cassel M,BMC Psychiatry,2022,9/9/22,PMC9461101,,10.1186/s12888-022-04231-4
36064880,Reduced variability of bursting activity during working memory,"Lundqvist M, Rose J, Brincat SL, Warden MR, Buschman TJ, Herman P, Miller EK.",Sci Rep. 2022 Sep 5;12(1):15050. doi: 10.1038/s41598-022-18577-y.,Lundqvist M,Sci Rep,2022,9/6/22,PMC9445015,,10.1038/s41598-022-18577-y
34779877,Hit-and-run: a Swedish nationwide cohort study of serious transport accidents and convictions due to traffic offenses in obsessive-compulsive disorder,"Mataix-Cols D, Fernández de la Cruz L, Brander G, Andersson E, D'Onofrio BM, Rück C, Larsson H, Lichtenstein P, Sidorchuk A.",Soc Psychiatry Psychiatr Epidemiol. 2022 Sep;57(9):1817-1827. doi: 10.1007/s00127-021-02182-x. Epub 2021 Nov 15.,Mataix-Cols D,Soc Psychiatry Psychiatr Epidemiol,2022,11/15/21,PMC9375758,,10.1007/s00127-021-02182-x
35969401,Therapist-Supported Internet-Delivered Exposure and Response Prevention for Children and Adolescents With Tourette Syndrome: A Randomized Clinical Trial,"Andrén P, Holmsved M, Ringberg H, Wachtmeister V, Isomura K, Aspvall K, Lenhard F, Hall CL, Davies EB, Murphy T, Hollis C, Sampaio F, Feldman I, Bottai M, Serlachius E, Andersson E, Fernández de la Cruz L, Mataix-Cols D.",JAMA Netw Open. 2022 Aug 1;5(8):e2225614. doi: 10.1001/jamanetworkopen.2022.25614.,Andrén P,JAMA Netw Open,2022,8/15/22,PMC9379743,,10.1001/jamanetworkopen.2022.25614
35545865,Validation of child-adapted short scales for measuring gastrointestinal-specific avoidance and anxiety,"Lalouni M, Olén O, Bjureberg J, Bonnert M, Chalder T, Hedman-Lagerlöf E, Reme SE, Serlachius E, Ljótsson B.",Acta Paediatr. 2022 Aug;111(8):1621-1627. doi: 10.1111/apa.16403. Epub 2022 May 27.,Lalouni M,Acta Paediatr,2022,5/12/22,PMC9545055,,10.1111/apa.16403
35142868,"Shiftworkers' attitude to their work hours, positive or negative, and why?","Åkerstedt T, Sallinen M, Kecklund G.",Int Arch Occup Environ Health. 2022 Aug;95(6):1267-1277. doi: 10.1007/s00420-022-01831-1. Epub 2022 Feb 10.,Åkerstedt T,Int Arch Occup Environ Health,2022,2/10/22,PMC9273531,,10.1007/s00420-022-01831-1
