"","pmid","pmcid_pmc","pmcid_uid","doi","filename","journal","publisher","affiliation_institution","affiliation_country","year_epub","year_ppub","is_coi_pred","coi_text","is_coi_pmc_fn","is_coi_pmc_title","is_explicit_coi","coi_1","coi_2","coi_disclosure_1","commercial_1","benefit_1","consultant_1","grants_1","brief_1","fees_1","consults_1","connect_1","connect_2","commercial_ack_1","rights_1","founder_1","advisor_1","paid_1","board_1","no_coi_1","no_funder_role_1","is_fund_pred","fund_text","fund_pmc_institute","fund_pmc_source","fund_pmc_anysource","is_fund_pmc_group","is_fund_pmc_title","is_fund_pmc_anysource","is_relevant_fund","is_explicit_fund","support_1","support_3","support_4","support_5","support_6","support_7","support_8","support_9","support_10","developed_1","received_1","received_2","recipient_1","authors_1","authors_2","thank_1","thank_2","fund_1","fund_2","fund_3","supported_1","financial_1","financial_2","financial_3","grant_1","french_1","common_1","common_2","common_3","common_4","common_5","acknow_1","disclosure_1","disclosure_2","fund_ack","project_ack","is_register_pred","register_text","type","is_research","is_review","is_reg_pmc_title","is_relevant_reg","is_method","is_NCT","is_explicit_reg","prospero_1","registered_1","registered_2","registered_3","registered_4","registered_5","not_registered_1","registration_1","registration_2","registration_3","registration_4","registry_1","reg_title_1","reg_title_2","reg_title_3","reg_title_4","funded_ct_1","ct_2","ct_3","protocol_1","is_success","is_relevant_coi","is_relevant_coi_hi","is_relevant_coi_lo"
"1","20034617","","2866253","10.1016/j.biopsych.2009.10.031","./publications/PMC2866253.xml","Biological Psychiatry","Elsevier","","","","2010",TRUE,"Drs. Browning, Holmes, and Murphy report no biomedical financial interests or potential conflicts of interest. Professor Goodwin has received compensation from AstraZeneca, Bristol-Myers Squibb, Eisai, Eli Lilly, Lundbeck, P1Vital, Sanofi-Aventis, Servier, and Wyeth and holds shares in P1Vital. Dr. Harmer is on the advisory board of P1Vital and has received compensation from GlaxoSmithKline, Servier, Merck, Sharp and Dohme, and Lundbeck. She also holds shares in P1Vital.",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"MB is supported by a Clinical Training Fellowship from the Wellcome Trust (WT081672MA), which funded this study. EAH is supported by a Royal Society Dorothy Hodgkin Fellowship and the Economic and Social Research Council (RES-061-23-0030). CJH is supported by the Medical Research Council (G0301005).","","","Clinical Training Fellowship; Royal Society Dorothy Hodgkin Fellowship and the Economic and Social Research Council; Medical Research Council",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,NA
"2","20532199","","2880555","10.1371/journal.pcbi.1000803","./publications/PMC2880555.xml","PLoS Computational Biology","Public Library of Science; San Francisco, USA","","","2010","",TRUE,"The authors have declared that no competing interests exist.",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"This work was partly supported by grants from the Swedish Science Council (Vetenskapsrådet, VR-621-2004-3807), VINNOVA (Swedish Governmental Agency for Innovation Systems), the Swedish Foundation for Strategic Research (through the Stockholm Brain Institute), and from the European Union (FACETS project, FP6-2004-IST-FETPI-015879). AC acknowledges support from the Instituto de Salud Carlos III, Spain, and from the Researcher Stabilization Program of the Health Department of the Generalitat de Catalunya. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","","","",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA
"3","20598127","","2910662","10.1186/1471-244X-10-54","./publications/PMC2910662.xml","BMC Psychiatry","BioMed Central","","","2010","",TRUE,"Competing interests The authors declare that they have no competing interests.",FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"The Stockholm County Council sponsored this study. We thank Monica Hellberg and Erik Hedman for substantially contributing to the realisation of the study.","","","",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,"Trial registration ClinicalTrials.gov NCT00845260","research-article",TRUE,FALSE,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA
"4","21085661","","2978094","10.1371/journal.pone.0013706","./publications/PMC2978094.xml","PLoS ONE","Public Library of Science; San Francisco, USA","","","2010","",TRUE,"Competing Interests: The authors have declared that no competing interests exist.",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Funding:  Emily A. Holmes has received fellowship funding from the Royal Society and the Wellcome Trust. Ella L. James was supported by a Wellcome Trust Vacation Scholarship and a Colt Foundation Fellowship. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","","","",FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"5","21170381","","2999529","10.1371/journal.pone.0014265","./publications/PMC2999529.xml","PLoS ONE","Public Library of Science; San Francisco, USA","","","2010","",TRUE,"Competing Interests: The authors declare and confirm that the commercial funder AFA insurance did not alter their adherence to any of the PLoS ONE policies on sharing data and materials.",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Funding:  The LANE study has been made possible by funding from the insurance company AFA (Arbetsmarknadens Försäkringsaktiebolag). DH is supported by a grant from FAS (Swedish Council for Working Life and Social Research) Centre for Research on Hearing Problems in Working Life and Tysta Skolan. The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","","","",FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA
"6","21156746","","3001961","10.1136/bmj.c6614","./publications/PMC3001961.xml","The BMJ","BMJ Publishing Group Ltd.","","","2010","",TRUE,"Competing interests: All authors have completed the Unified Competing Interest form at www.icmje.org/coi_disclosure.pdf (available on request from the corresponding author) and declare: no support from any company for the submitted work; no financial relationships with any companies that might have an interest in the submitted work in the previous 3 years; no other relationships or activities that could appear to have influenced the submitted work.",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"We thank B Karshikoff for support with data acquisition and M Ingvar for comments on an earlier draft of the manuscript, both without compensation and working at the Department for Clinical Neuroscience, Karolinska Institutet, Sweden.Contributors: JA designed the data collection, supervised and monitored data collection, wrote the statistical analysis plan, carried out the statistical analyses, obtained funding, drafted and revised the manuscript, and is guarantor. TS designed and carried out the data collection, cleaned the data, drafted, revised the manuscript, and had final approval of the manuscript. JA and TS contributed equally to the work. MI wrote the statistical analysis plan, carried out the statistical analyses, drafted the manuscript, and critically revised the manuscript. EJWVS provided statistical advice, advised on data handling, and critically revised the manuscript. AO provided advice on the methods and critically revised the manuscript. ML provided administrative support, drafted the manuscript, and critically revised the manuscript. All authors approved the final version of the manuscript.Funding: This study was funded by the Swedish Society for Medical Research, Rut and Arvid Wolff’s Memory Fund, and the Osher Center for Integrative Medicine.Competing interests: All authors have completed the Unified Competing Interest form at www.icmje.org/coi_disclosure.pdf (available on request from the corresponding author) and declare: no support from any company for the submitted work; no financial relationships with any companies that might have an interest in the submitted work in the previous 3 years; no other relationships or activities that could appear to have influenced the submitted work.Ethical approval: This study was approved by the Karolinska Institutet’s ethical committee. Participants were compensated for their participation.Participant consent: Participant’s consent obtained.Data sharing: Statistical code and dataset of ratings are available from the corresponding author at john.axelsson@ki.se. Funding: This study was funded by the Swedish Society for Medical Research, Rut and Arvid Wolff’s Memory Fund, and the Osher Center for Integrative Medicine. Competing interests: All authors have completed the Unified Competing Interest form at www.icmje.org/coi_disclosure.pdf (available on request from the corresponding author) and declare: no support from any company for the submitted work; no financial relationships with any companies that might have an interest in the submitted work in the previous 3 years; no other relationships or activities that could appear to have influenced the submitted work.","","","",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA
"7","21127102","","3002836","10.1136/qshc.2008.030734","./publications/PMC3002836.xml","Quality & Safety in Health Care","BMJ Group; BMA House, Tavistock Square, London, WC1H 9JR","","","","2010",TRUE,"Competing interests: None.",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Funding: [ pi ]The study was funded by a grant from the  Wales Office of Research and Development for Health and Social Care, part of the Wales Assembly Government  (reference: ReF06/2/ 220). All researchers involved in this study were independent of the funding organisation. The funding organisation had no involvement in the conduct or reporting of this research.","","","",FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"8","21208425","","3024963","10.1186/1748-5908-6-1","./publications/PMC3024963.xml","Implementation Science : IS","BioMed Central","","","2011","",TRUE,"Competing interests The authors declare that they have no competing interests.",FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"This project was made possible by the support of the Canadian Institutes of Health Research (CIHR) Knowledge Translation Synthesis Program (KRS 86255). JES holds CIHR Postdoctoral and Bisby Fellowships; at the time of this research she held Killam, CIHR and Alberta Heritage Foundation for Medical Research (AHFMR) doctoral fellowships. CAE holds a CIHR Canada Research Chair in Knowledge Translation. PG holds a grant from AFA Insurance and LW is supported by the Center for Care Sciences at Karolinska Institutet. All authors participated in designing the study, securing funding for the project, and developing the search strategy. JES undertook the article selection; data extraction and quality assessment; and drafted the manuscript. CAE, PG, and LW provided valuable advice throughout the study. All authors provided critical commentary on the manuscript and approved the final version.","","","",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"9","21383847","","3044173","10.1371/journal.pone.0017208","./publications/PMC3044173.xml","PLoS ONE","Public Library of Science; San Francisco, USA","","","2011","",TRUE,"Competing Interests: The authors have declared that no competing interests exist.",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Funding:  This study was funded by the European Research Council (erc.europa.eu), The Swedish Foundation for Strategic Research ( www.stratresearch.se/en ), The Human Frontier Science Program ( www.hfsp.org ), and Stockholm Brain Institute ( www.stockholmbrain.se ). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.","","","",FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"","research-article",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA
"10","21448267","","3063156","10.1371/journal.pone.0014766","./publications/PMC3063156.xml","PLoS ONE","Public Library of Science; San Francisco, USA","","","2011","",TRUE,"Competing Interests: The authors have declared that no competing interests exist.",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Funding:  This study was supported by The Swedish Cancer Society, The Vardal Institute, The
County Council of Ostergotland, The University of Linköping, Cancer and
Traffic Injury Fund and The Vardal Foundation for Health Care Sciences and
Allergy Research. Mats Lekander and Martin Ingvar are members of Stockholm Brain
Institute funded by Vinnova and The Swedish Strategic Research Foundation. The
funders had no role in study design, data collection and analysis, decision to
publish, or preparation of the manuscript.","","","",FALSE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"Trial Registration ClinicalTrials.gov NCT00621660","research-article",TRUE,FALSE,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,NA
