Publication Year,Group,is_coi_pred,is_register_pred,is_fund_pred,is_open_code,is_open_data
2017,CNS,94.5,14.8,97.8,2.2,14.8
2017,KI Nord,95.6,13.1,96.5,1.9,15.5
2017,KI Solna,94.5,7.8,97.6,4.0,21.7
2017,KI Syd,94.7,8.2,97.9,3.5,22.0
2018,CNS,94.1,17.8,97.3,2.2,10.3
2018,KI Nord,95.9,14.0,94.4,2.1,15.5
2018,KI Solna,96.2,10.4,97.0,5.0,22.7
2018,KI Syd,97.5,11.1,95.5,2.5,23.9
2019,CNS,91.6,14.8,94.4,3.6,12.4
2019,KI Nord,94.8,11.6,94.7,3.5,15.8
2019,KI Solna,94.7,7.6,96.9,5.9,22.8
2019,KI Syd,95.5,10.9,92.2,5.0,20.4
2020,CNS,94.6,12.2,92.3,3.6,18.5
2020,KI Nord,96.2,13.2,94.4,3.4,15.4
2020,KI Solna,94.8,8.1,95.5,7.4,23.3
2020,KI Syd,94.9,11.8,92.0,3.1,17.3
2021,CNS,95.0,12.5,93.6,4.5,14.8
2021,KI Nord,95.1,12.8,93.4,3.7,15.9
2021,KI Solna,97.8,9.0,97.0,7.5,22.0
2021,KI Syd,93.6,10.8,90.8,3.3,17.8
