Publication Year,short_name,is_coi_pred,is_register_pred,is_fund_pred,is_open_code,is_open_data
2017,BioNut,90.0,6.0,98.0,10.0,46.0
2017,CLINTEC,94.6,9.8,96.7,1.1,15.2
2017,CMB,81.1,2.7,97.3,2.7,32.4
2017,CNS,94.5,14.8,97.8,2.2,14.8
2017,FyFa,91.5,19.1,89.4,4.3,19.1
2017,GPH,99.2,13.9,96.7,0.8,8.2
2017,IMM,100.0,7.0,99.2,1.6,23.4
2017,KBH,91.4,10.8,97.8,1.1,15.1
2017,KI DS,93.5,23.9,84.8,0.0,15.2
2017,KI SÖS,100.0,7.7,100.0,0.0,13.5
2017,LABMED,92.0,3.4,100.0,2.3,20.5
2017,LIME,97.7,18.6,93.0,0.0,4.7
2017,MBB,90.5,0.0,98.6,8.1,32.4
2017,MEB,97.2,4.9,97.2,7.6,14.6
2017,MMK,97.2,11.9,97.2,3.7,15.6
2017,MTC,91.9,1.4,98.6,2.7,36.5
2017,MedH,94.3,8.0,97.7,4.5,20.5
2017,MedS,97.5,11.3,97.5,3.0,21.2
2017,NVS,95.1,16.2,97.9,1.4,12.0
2017,Neuro,93.3,10.0,100.0,3.3,23.3
2017,OnkPat,91.3,8.7,96.1,1.0,19.4
2018,BioNut,98.1,9.3,100.0,3.7,38.9
2018,CLINTEC,97.0,9.1,92.9,1.0,14.1
2018,CMB,100.0,3.0,100.0,27.3,51.5
2018,CNS,94.1,17.8,97.3,2.2,10.3
2018,FyFa,96.6,17.2,93.1,1.7,20.7
2018,GPH,96.2,19.5,95.5,1.5,7.5
2018,IMM,97.1,9.3,95.7,2.1,15.0
2018,KBH,94.2,11.5,93.3,1.9,16.3
2018,KI DS,94.7,26.3,90.8,0.0,15.8
2018,KI SÖS,98.4,15.6,93.8,0.0,12.5
2018,LABMED,97.3,11.8,95.5,0.9,15.5
2018,LIME,94.8,13.0,92.2,0.0,5.2
2018,MBB,94.7,3.2,98.9,7.4,47.9
2018,MEB,96.7,5.2,98.0,6.5,19.6
2018,MMK,97.5,8.2,88.0,2.5,15.8
2018,MTC,96.2,3.8,98.7,7.7,33.3
2018,MedH,96.9,11.3,96.9,5.2,33.0
2018,MedS,97.4,12.2,97.8,2.2,19.1
2018,NVS,96.3,23.4,96.3,1.6,10.6
2018,Neuro,92.5,1.9,96.2,1.9,18.9
2018,OnkPat,96.6,5.7,95.5,5.7,36.4
2019,BioNut,97.1,8.7,97.1,11.6,37.7
2019,CLINTEC,91.5,11.3,87.9,2.1,12.1
2019,CMB,100.0,6.1,100.0,27.3,60.6
2019,CNS,91.6,14.8,94.4,3.6,12.4
2019,FyFa,94.6,6.8,95.9,2.7,29.7
2019,GPH,96.2,15.4,93.6,0.6,10.3
2019,IMM,98.0,6.7,98.0,1.3,14.1
2019,KBH,95.2,11.7,95.2,4.8,13.8
2019,KI DS,91.7,16.7,88.3,0.0,10.0
2019,KI SÖS,95.3,14.1,95.3,2.4,18.8
2019,LABMED,93.8,7.1,94.7,3.5,20.4
2019,LIME,95.5,10.6,87.9,0.0,3.0
2019,MBB,91.7,0.0,98.6,16.7,47.2
2019,MEB,95.2,5.3,94.7,4.8,15.9
2019,MMK,95.4,11.4,96.0,4.0,22.9
2019,MTC,89.7,4.6,97.7,10.3,43.7
2019,MedH,99.2,9.5,92.1,6.3,21.4
2019,MedS,96.3,7.7,97.4,4.8,20.2
2019,NVS,95.6,15.4,98.2,3.1,11.9
2019,Neuro,89.1,3.6,92.7,3.6,20.0
2019,OnkPat,95.7,6.8,94.9,6.0,22.2
2020,BioNut,97.1,8.6,98.6,10.0,44.3
2020,CLINTEC,94.8,11.0,89.6,1.2,9.2
2020,CMB,97.2,2.8,97.2,19.4,47.2
2020,CNS,94.6,12.2,92.3,3.6,18.5
2020,FyFa,95.0,12.5,93.8,8.8,35.0
2020,GPH,97.6,11.8,95.3,1.9,11.8
2020,IMM,94.8,6.4,96.5,3.5,13.4
2020,KBH,93.5,13.7,94.6,2.4,14.9
2020,KI DS,97.5,21.2,91.2,1.2,7.5
2020,KI SÖS,94.8,15.6,90.6,2.1,7.3
2020,LABMED,95.7,5.5,94.5,2.5,18.4
2020,LIME,94.5,14.3,92.3,0.0,4.4
2020,MBB,95.4,1.1,98.9,12.6,41.4
2020,MEB,95.4,5.6,94.9,6.6,17.9
2020,MMK,98.5,17.2,97.0,5.9,17.2
2020,MTC,93.8,5.2,96.9,16.5,42.3
2020,MedH,93.7,11.7,92.8,2.7,21.6
2020,MedS,97.4,11.4,97.1,3.6,15.0
2020,NVS,95.0,13.8,94.4,3.4,12.2
2020,Neuro,91.7,3.3,95.0,11.7,41.7
2020,OnkPat,95.7,9.5,91.4,6.0,25.9
2021,BioNut,98.6,8.2,97.3,6.8,21.9
2021,CLINTEC,92.1,13.3,86.7,3.0,12.3
2021,CMB,100.0,1.5,98.5,17.9,56.7
2021,CNS,95.0,12.5,93.6,4.5,14.8
2021,FyFa,99.1,14.2,100.0,6.6,20.8
2021,GPH,96.1,12.9,92.9,0.8,8.6
2021,IMM,98.1,10.1,98.4,3.5,15.9
2021,KBH,94.3,13.7,95.4,3.4,20.0
2021,KI DS,94.9,25.6,91.5,6.0,9.4
2021,KI SÖS,89.9,12.6,89.9,0.0,10.1
2021,LABMED,95.0,11.9,93.1,4.4,16.9
2021,LIME,97.4,6.6,93.4,1.3,9.2
2021,MBB,100.0,2.7,100.0,17.3,65.3
2021,MEB,95.4,6.7,92.5,7.1,11.7
2021,MMK,93.7,14.5,90.3,4.1,17.1
2021,MTC,96.3,4.6,94.5,13.8,42.2
2021,MedH,96.0,7.4,94.0,4.7,29.5
2021,MedS,95.1,9.1,95.4,4.0,18.0
2021,NVS,98.2,13.6,97.9,4.1,9.7
2021,Neuro,98.1,1.9,98.1,13.5,32.7
2021,OnkPat,95.8,9.8,94.4,4.9,28.7
