Publication Year,short_name,is_coi_pred,is_register_pred,is_fund_pred,is_open_code,is_open_data
2017,CMB,81.1,2.7,97.3,2.7,32.4
2017,FyFa,91.5,19.1,89.4,4.3,19.1
2017,IMM,100.0,7.0,99.2,1.6,23.4
2017,MBB,90.5,0.0,98.6,8.1,32.4
2017,MEB,97.2,4.9,97.2,7.6,14.6
2017,MTC,91.9,1.4,98.6,2.7,36.5
2017,NVS,95.1,16.2,97.9,1.4,12.0
2017,Neuro,93.3,10.0,100.0,3.3,23.3
2018,CMB,100.0,3.0,100.0,27.3,51.5
2018,FyFa,96.6,17.2,93.1,1.7,20.7
2018,IMM,97.1,9.3,95.7,2.1,15.0
2018,MBB,94.7,3.2,98.9,7.4,47.9
2018,MEB,96.7,5.2,98.0,6.5,19.6
2018,MTC,96.2,3.8,98.7,7.7,33.3
2018,NVS,96.3,23.4,96.3,1.6,10.6
2018,Neuro,92.5,1.9,96.2,1.9,18.9
2019,CMB,100.0,6.1,100.0,27.3,60.6
2019,FyFa,94.6,6.8,95.9,2.7,29.7
2019,IMM,98.0,6.7,98.0,1.3,14.1
2019,MBB,91.7,0.0,98.6,16.7,47.2
2019,MEB,95.2,5.3,94.7,4.8,15.9
2019,MTC,89.7,4.6,97.7,10.3,43.7
2019,NVS,95.6,15.4,98.2,3.1,11.9
2019,Neuro,89.1,3.6,92.7,3.6,20.0
2020,CMB,97.2,2.8,97.2,19.4,47.2
2020,FyFa,95.0,12.5,93.8,8.8,35.0
2020,IMM,94.8,6.4,96.5,3.5,13.4
2020,MBB,95.4,1.1,98.9,12.6,41.4
2020,MEB,95.4,5.6,94.9,6.6,17.9
2020,MTC,93.8,5.2,96.9,16.5,42.3
2020,NVS,95.0,13.8,94.4,3.4,12.2
2020,Neuro,91.7,3.3,95.0,11.7,41.7
2021,CMB,100.0,1.5,98.5,17.9,56.7
2021,FyFa,99.1,14.2,100.0,6.6,20.8
2021,IMM,98.1,10.1,98.4,3.5,15.9
2021,MBB,100.0,2.7,100.0,17.3,65.3
2021,MEB,95.4,6.7,92.5,7.1,11.7
2021,MTC,96.3,4.6,94.5,13.8,42.2
2021,NVS,98.2,13.6,97.9,4.1,9.7
2021,Neuro,98.1,1.9,98.1,13.5,32.7
