Publication Year,short_name,is_coi_pred,is_register_pred,is_fund_pred,is_open_code,is_open_data
2017,BioNut,90.0,6.0,98.0,10.0,46.0
2017,CLINTEC,94.6,9.8,96.7,1.1,15.2
2017,KI SÖS,100.0,7.7,100.0,0.0,13.5
2017,MedH,94.3,8.0,97.7,4.5,20.5
2018,BioNut,98.1,9.3,100.0,3.7,38.9
2018,CLINTEC,97.0,9.1,92.9,1.0,14.1
2018,KI SÖS,98.4,15.6,93.8,0.0,12.5
2018,MedH,96.9,11.3,96.9,5.2,33.0
2019,BioNut,97.1,8.7,97.1,11.6,37.7
2019,CLINTEC,91.5,11.3,87.9,2.1,12.1
2019,KI SÖS,95.3,14.1,95.3,2.4,18.8
2019,MedH,99.2,9.5,92.1,6.3,21.4
2020,BioNut,97.1,8.6,98.6,10.0,44.3
2020,CLINTEC,94.8,11.0,89.6,1.2,9.2
2020,KI SÖS,94.8,15.6,90.6,2.1,7.3
2020,MedH,93.7,11.7,92.8,2.7,21.6
2021,BioNut,98.6,8.2,97.3,6.8,21.9
2021,CLINTEC,92.1,13.3,86.7,3.0,12.3
2021,KI SÖS,89.9,12.6,89.9,0.0,10.1
2021,MedH,96.0,7.4,94.0,4.7,29.5
