pmid,is_coi_pred,is_register_pred,is_fund_pred,is_open_code,is_open_data,Publication Year,Institution,Journal/Book,name,short_name
28094017,False,False,True,False,False,2017,Karolinska,Cell Stem Cell,Department of Cell and Molecular Biology,CMB
28094017,False,False,True,False,False,2017,Karolinska,Cell Stem Cell,Department of Cell and Molecular Biology,CMB
28087510,True,False,True,False,False,2017,Karolinska,BMJ,Department of Medical Epidemiology and Biostatistics,MEB
28087510,True,False,True,False,False,2017,Karolinska,BMJ,Department of Medical Epidemiology and Biostatistics,MEB
28086826,True,False,True,False,False,2017,Karolinska,BMC Nephrol,"Department of Clinical Science, Intervention and Technology",CLINTEC
28086826,True,False,True,False,False,2017,Karolinska,BMC Nephrol,"Department of Clinical Science, Intervention and Technology",CLINTEC
28095885,True,False,True,False,False,2017,Karolinska,BMC Psychiatry,Department of Clinical Neuroscience,CNS
28095885,True,False,True,False,False,2017,Karolinska,BMC Psychiatry,Department of Medical Epidemiology and Biostatistics,MEB
28095885,True,False,True,False,False,2017,Karolinska,BMC Psychiatry,Department of Clinical Neuroscience,CNS
28095885,True,False,True,False,False,2017,Karolinska,BMC Psychiatry,Department of Medical Epidemiology and Biostatistics,MEB
28095833,True,False,True,False,False,2017,Karolinska,BMC Med,Department of Medical Epidemiology and Biostatistics,MEB
28095833,True,False,True,False,False,2017,Karolinska,BMC Med,Department of Medical Epidemiology and Biostatistics,MEB
28095791,True,True,True,False,False,2017,Karolinska,BMC Geriatr,"Department of Neurobiology, Care Sciences and Society",NVS
28095791,True,True,True,False,False,2017,Karolinska,BMC Geriatr,"Department of Neurobiology, Care Sciences and Society",NVS
28095434,True,False,True,False,False,2017,Karolinska,PLoS One,"Department of Microbiology, Tumor and Cell Biology",MTC
28095434,True,False,True,False,False,2017,Karolinska,PLoS One,"Department of Microbiology, Tumor and Cell Biology",MTC
28095416,True,False,True,True,True,2017,Karolinska,PLoS Genet,Department of Medical Epidemiology and Biostatistics,MEB
28095416,True,False,True,True,True,2017,Karolinska,PLoS Genet,Department of Medical Epidemiology and Biostatistics,MEB
28095463,True,False,True,False,True,2017,Karolinska,PLoS One,"Department of Clinical Sciences, Danderyd Hospital",KI DS
28095463,True,False,True,False,True,2017,Karolinska,PLoS One,"Department of Clinical Sciences, Danderyd Hospital",KI DS
28095477,True,False,True,False,False,2017,Karolinska,PLoS One,Department of Global Public Health,GPH
28095477,True,False,True,False,False,2017,Karolinska,PLoS One,"Department of Neurobiology, Care Sciences and Society",NVS
28095477,True,False,True,False,False,2017,Karolinska,PLoS One,Department of Global Public Health,GPH
28095477,True,False,True,False,False,2017,Karolinska,PLoS One,"Department of Neurobiology, Care Sciences and Society",NVS
28098217,False,False,True,False,False,2017,Karolinska,Sci Rep,Department of Laboratory Medicine,LABMED
28098217,False,False,True,False,False,2017,Karolinska,Sci Rep,Department of Laboratory Medicine,LABMED
28098178,False,False,True,False,False,2017,Karolinska,Sci Rep,Department of Women's and Children's Health,KBH
28098178,False,False,True,False,False,2017,Karolinska,Sci Rep,Department of Women's and Children's Health,KBH
28100201,True,False,True,False,False,2017,Karolinska,BMC Public Health,Institute of Environmental Medicine,IMM
28165661,True,False,True,False,False,2017,Karolinska,Aging Cell,Department of Medical Biochemistry and Biophysics,MBB
28099502,True,True,True,False,False,2017,Karolinska,PLoS One,Department of Oncology-Pathology,OnkPat
28103816,True,True,True,False,False,2017,Karolinska,BMC Fam Pract,"Department of Neurobiology, Care Sciences and Society",NVS
28103291,True,False,True,True,True,2017,Karolinska,PLoS One,Department of Medical Epidemiology and Biostatistics,MEB
28103854,True,False,True,False,False,2017,Karolinska,BMC Med Educ,"Department of Learning, Informatics, Management and Ethics",LIME
28103871,True,False,True,False,False,2017,Karolinska,BMC Health Serv Res,Department of Clinical Neuroscience,CNS
28103922,True,False,True,False,False,2017,Karolinska,Cancer Imaging,Department of Molecular Medicine and Surgery,MMK
28103940,True,False,True,False,False,2017,Karolinska,Popul Health Metr,Institute of Environmental Medicine,IMM
28107509,True,False,True,False,False,2017,Karolinska,PLoS One,Institute of Environmental Medicine,IMM
