Publication Year,Institution,Institution
2017,Karolinska,1897
2017,Uppsala,1423
2017,Lund,1253
2017,gbg,1132
2017,Umeå,695
2017,link,455
2017,Orebro,204
2018,Karolinska,2320
2018,Uppsala,1499
2018,gbg,1402
2018,Lund,1266
2018,Umeå,661
2018,link,499
2018,Orebro,229
2019,Karolinska,2671
2019,Uppsala,1716
2019,gbg,1613
2019,Lund,1436
2019,Umeå,744
2019,link,598
2019,Orebro,292
2020,Karolinska,3382
2020,Uppsala,2035
2020,gbg,1960
2020,Lund,1789
2020,Umeå,890
2020,link,772
2020,Orebro,372
2021,Karolinska,4042
2021,Uppsala,2427
2021,gbg,2377
2021,Lund,2197
2021,Umeå,1050
2021,link,841
2021,Orebro,470
2022,Uppsala,1040
2022,gbg,978
2022,Karolinska,692
2022,Umeå,425
2022,link,413
2022,Lund,372
2022,Orebro,207
